plot,class,x,y,distancia_lag
9,Controle,-36.963804,-5.53932,863.7313688
118,Controle,-36.963356,-5.537841,701.0233468
35,Controle,-36.964097,-5.538768,802.8412822
63,Controle,-36.963963,-5.538405,762.0218013
70,Controle,-36.963692,-5.538315,751.9984254
58,Controle,-36.963286,-5.538403,763.9944418
84,Controle,-36.964911,-5.538137,741.8427208
148,Controle,-36.9641,-5.537592,672.0539254
2,1 sp,-36.96353,-5.539602,895.7206578
11,1 sp,-36.964029,-5.539314,863.3530541
116,1 sp,-36.963176,-5.537882,707.3266263
102,1 sp,-36.964483,-5.538023,723.0205428
103,1 sp,-36.964663,-5.538023,725.3000545
144,1 sp,-36.96489,-5.537572,679.4473954
108,1 sp,-36.965047,-5.538048,734.6929631
1,1 sp,-36.96378,-5.539615,896.581666
38,1 sp,-36.963826,-5.538676,792.038177
65,1 sp,-36.964234,-5.538407,763.4328608
20,1 sp,-36.964053,-5.539111,840.8384163
21,1 sp,-36.964053,-5.53902,830.712931
10,1 sp,-36.963917,-5.539343,866.346953
7,1 sp,-36.963553,-5.539399,873.0463372
17,1 sp,-36.963554,-5.539127,842.7822986
23,1 sp,-36.963554,-5.539037,832.7700294
30,1 sp,-36.96342,-5.538765,803.2063321
41,1 sp,-36.96342,-5.538674,793.0923619
31,1 sp,-36.963556,-5.538766,802.6146615
26,1 sp,-36.963692,-5.538857,812.3227018
47,1 sp,-36.963962,-5.538586,782.1645915
52,1 sp,-36.963827,-5.538496,772.0006766
62,1 sp,-36.963828,-5.538406,761.9819467
69,1 sp,-36.963828,-5.538315,751.8518735
44,1 sp,-36.963556,-5.538585,782.4801955
60,1 sp,-36.963557,-5.538403,762.230914
56,1 sp,-36.963286,-5.538493,773.9828223
66,1 sp,-36.964234,-5.538316,753.3208018
77,1 sp,-36.963693,-5.538224,741.8681441
82,1 sp,-36.964369,-5.538226,744.379801
83,1 sp,-36.964505,-5.538226,745.7490095
129,1 sp,-36.964912,-5.537776,702.2367535
128,1 sp,-36.964912,-5.537866,712.1093976
105,1 sp,-36.964912,-5.538047,731.9764039
104,1 sp,-36.964775,-5.538046,729.524518
90,1 sp,-36.964098,-5.538135,732.4346388
93,1 sp,-36.963693,-5.538133,731.7400969
101,1 sp,-36.964235,-5.538044,723.1056883
100,1 sp,-36.964099,-5.538044,722.3178963
99,1 sp,-36.963828,-5.538043,721.5729733
98,1 sp,-36.963693,-5.538043,721.7234028
126,1 sp,-36.964505,-5.537864,705.668654
123,1 sp,-36.9641,-5.537863,702.1920325
134,1 sp,-36.96383,-5.537772,691.4054994
140,1 sp,-36.9641,-5.537684,682.2850202
147,1 sp,-36.964236,-5.537593,673.0141135
152,1 sp,-36.964507,-5.537503,665.7502255
154,1 sp,-36.964778,-5.537504,669.9280833
18,2 sp,-36.963689,-5.539109,840.3766221
42,2 sp,-36.963309,-5.538607,786.4461506
57,2 sp,-36.963173,-5.53838,762.5279732
74,2 sp,-36.963174,-5.538244,747.4474925
96,2 sp,-36.963175,-5.538018,722.400093
107,2 sp,-36.965024,-5.537934,721.7503043
6,2 sp,-36.963781,-5.539434,876.4325338
33,2 sp,-36.963826,-5.538766,802.0569312
34,2 sp,-36.963961,-5.538808,806.8710105
37,2 sp,-36.963962,-5.538718,796.8560873
36,2 sp,-36.964097,-5.538677,792.7183867
12,2 sp,-36.964052,-5.539201,850.8494719
13,2 sp,-36.963917,-5.539253,856.3288854
8,2 sp,-36.963553,-5.539308,862.922417
43,2 sp,-36.963421,-5.538584,783.0835864
24,2 sp,-36.963555,-5.538946,822.6426216
64,2 sp,-36.964098,-5.538406,762.5776816
51,2 sp,-36.963962,-5.538496,772.147721
45,2 sp,-36.963692,-5.538585,782.0490542
53,2 sp,-36.963691,-5.538496,772.1455666
61,2 sp,-36.963692,-5.538405,762.0152523
55,2 sp,-36.963421,-5.538494,773.0815089
72,2 sp,-36.963421,-5.538313,752.9675624
73,2 sp,-36.963286,-5.538312,753.8958988
78,2 sp,-36.963828,-5.538224,741.7218003
143,2 sp,-36.964912,-5.537686,692.3683072
87,2 sp,-36.964506,-5.538136,735.7934006
88,2 sp,-36.96437,-5.538136,734.4033577
89,2 sp,-36.964234,-5.538135,733.2092838
91,2 sp,-36.963963,-5.538134,731.8604522
92,2 sp,-36.963828,-5.538134,731.7030465
109,2 sp,-36.964777,-5.537956,719.6442425
110,2 sp,-36.96437,-5.537955,714.3244222
111,2 sp,-36.964235,-5.537954,713.1069049
113,2 sp,-36.963829,-5.537953,711.5542628
114,2 sp,-36.963693,-5.537953,711.7067668
124,2 sp,-36.964236,-5.537864,703.1158402
122,2 sp,-36.963964,-5.537863,701.7020446
120,2 sp,-36.963694,-5.537862,701.5765777
119,2 sp,-36.963558,-5.537862,702.0523839
131,2 sp,-36.964237,-5.537774,693.1255926
133,2 sp,-36.963965,-5.537773,691.688162
139,2 sp,-36.963965,-5.537683,681.6719283
141,2 sp,-36.964507,-5.537684,685.7730239
142,2 sp,-36.964643,-5.537685,687.704533
145,2 sp,-36.964642,-5.537594,677.6491256
150,2 sp,-36.964236,-5.537502,662.9074964
155,2 sp,-36.964598,-5.537413,657.0334778
15,4 sp,-36.963442,-5.53924,855.8805762
94,4 sp,-36.9634,-5.53811,730.5577578
117,4 sp,-36.963266,-5.53784,701.7237037
146,4 sp,-36.964349,-5.537616,676.5259195
97,4 sp,-36.963287,-5.538041,723.8182849
3,4 sp,-36.963553,-5.539489,883.0591444
27,4 sp,-36.963555,-5.538857,812.7418695
40,4 sp,-36.963555,-5.538675,792.4959075
32,4 sp,-36.963691,-5.538767,802.3077002
48,4 sp,-36.964098,-5.538587,782.711173
67,4 sp,-36.964098,-5.538316,752.5668589
68,4 sp,-36.963964,-5.538315,752.0073064
54,4 sp,-36.963556,-5.538495,772.4688613
75,4 sp,-36.963422,-5.538223,742.9601722
78,4 sp,-36.963557,-5.538223,742.2091442
80,4 sp,-36.964099,-5.538226,742.5607554
81,4 sp,-36.964234,-5.538226,743.3203469
86,4 sp,-36.96464,-5.538137,737.5721333
127,4 sp,-36.964777,-5.537866,709.7349845
121,4 sp,-36.963829,-5.537863,701.5355097
132,4 sp,-36.9641,-5.537773,692.1827822
135,4 sp,-36.963694,-5.537771,691.4487377
137,4 sp,-36.963694,-5.537682,681.5435519
136,4 sp,-36.96383,-5.537682,681.3867473
16,8 sp,-36.963419,-5.539127,843.4496719
49,8 sp,-36.964233,-5.538497,773.4277937
5,8 sp,-36.963916,-5.539434,876.4750809
22,8 sp,-36.963918,-5.539073,836.2941426
28,8 sp,-36.963419,-5.538856,813.3268392
46,8 sp,-36.963827,-5.538586,782.0194307
59,8 sp,-36.963422,-5.538404,763.0733612
79,8 sp,-36.963963,-5.538225,741.9883764
85,8 sp,-36.964776,-5.538137,739.5660165
125,8 sp,-36.964371,-5.537864,704.2404882
138,8 sp,-36.963559,-5.537771,691.9267623
151,8 sp,-36.964371,-5.537503,664.2110995
29,16 sp,-36.963308,-5.538742,801.4430373
95,16 sp,-36.963202,-5.538131,734.629815
4,16 sp,-36.963781,-5.539524,886.4511277
19,16 sp,-36.963918,-5.539162,846.2008498
14,16 sp,-36.963554,-5.539217,852.7947201
25,16 sp,-36.96369,-5.538947,822.3438335
39,16 sp,-36.963691,-5.538675,792.0681102
50,16 sp,-36.964097,-5.538497,772.6956311
71,16 sp,-36.963556,-5.538314,752.3355542
108,16 sp,-36.964912,-5.537957,722.0958299
112,16 sp,-36.963964,-5.537953,711.7184534
115,16 sp,-36.963558,-5.537952,712.0622982
130,16 sp,-36.964371,-5.537773,694.1482678
149,16 sp,-36.963966,-5.537591,671.4357399
153,16 sp,-36.964642,-5.537504,667.7212847
