Bloco,target,ontogenia,rii_alt,imp_alt,rii_folha,imp_folha
1,ziz_joa,plantula,0.05455,0.60000,0.16190,0.12409
1,poi_pyr,plantula,0.00474,0.01124,0.14286,0.00426
2,ziz_joa,plantula,-0.03586,-0.18367,-0.31507,0.13609
2,poi_pyr,plantula,0.00000,0.00000,0.14286,0.00426
3,ziz_joa,plantula,0.00000,0.00000,-0.26829,0.13750
3,poi_pyr,plantula,-0.00943,-0.02273,-0.14286,0.00426
4,ziz_joa,plantula,-0.01718,-0.55556,0.46667,1.00000
4,poi_pyr,plantula,0.00971,0.02128,0.00000,0.00000
5,ziz_joa,plantula,0.01186,0.06383,-0.25000,0.10588
5,poi_pyr,plantula,-0.00469,-0.01149,0.00000,0.00000
6,ziz_joa,plantula,-0.00735,-0.07143,-0.02632,0.01205
6,poi_pyr,plantula,0.01408,0.03448,0.00000,0.00000
7,ziz_joa,plantula,0.00000,0.00000,0.01099,0.00662
7,poi_pyr,plantula,-0.00474,-0.01124,0.00000,0.00000
1,ziz_joa,juvenil,0.05455,0.60000,0.16190,0.12409
1,poi_pyr,juvenil,0.00474,0.01124,0.14286,0.00426
2,ziz_joa,juvenil,-0.03586,0.18367,-0.31507,0.13609
2,poi_pyr,juvenil,0.00000,0.00000,0.14286,0.00426
3,ziz_joa,juvenil,0.00000,0.00000,-0.26829,0.13750
3,poi_pyr,juvenil,-0.00943,0.02273,-0.14286,0.00426
4,ziz_joa,juvenil,-0.01718,0.55556,0.46667,0.00000
4,poi_pyr,juvenil,0.00971,0.02128,0.00000,0.00000
5,ziz_joa,juvenil,0.01186,0.06383,-0.25000,0.10588
5,poi_pyr,juvenil,-0.00469,0.01149,0.00000,0.00000
6,ziz_joa,juvenil,-0.00735,0.07143,-0.02632,0.01205
6,poi_pyr,juvenil,0.01408,0.03448,0.00000,0.00000
7,ziz_joa,juvenil,0.00000,0.00000,0.01099,0.00662
7,poi_pyr,juvenil,-0.00474,0.01124,0.00000,0.00000
1,ziz_joa,plantula,0.05376,0.71429,0.17647,0.31915
1,poi_pyr,plantula,-0.00469,-0.01149,0.00000,0.00000
2,ziz_joa,plantula,-0.05512,-0.30435,-0.60870,0.32558
2,poi_pyr,plantula,1.00000,0.52284,1.00000,0.03125
3,ziz_joa,plantula,0.01091,0.12000,-0.05128,0.07407
3,poi_pyr,plantula,-0.00926,-0.02381,-0.11111,0.00813
4,ziz_joa,plantula,-0.02069,-0.60000,-0.01639,0.01408
4,poi_pyr,plantula,0.00000,0.00000,-0.14286,0.00800
5,ziz_joa,plantula,0.01176,0.06667,-0.08824,0.09375
5,poi_pyr,plantula,-0.00935,-0.02326,-0.14286,0.00800
6,ziz_joa,plantula,0.00000,0.00000,0.03125,0.02941
6,poi_pyr,plantula,0.00000,0.00000,-0.11111,0.00813
7,ziz_joa,plantula,-0.03806,-1.00000,0.08861,0.13208
7,poi_pyr,plantula,-0.00474,-0.01124,0.00000,0.00000
1,ziz_joa,juvenil,0.05376,0.71429,0.17647,0.31915
1,poi_pyr,juvenil,-0.00469,0.01149,0.00000,0.00000
2,ziz_joa,juvenil,-0.05512,0.30435,-0.60870,0.32558
2,poi_pyr,juvenil,1.00000,0.52284,1.00000,0.03125
3,ziz_joa,juvenil,0.01091,0.12000,-0.05128,0.07407
3,poi_pyr,juvenil,-0.00926,0.02381,-0.11111,0.00813
4,ziz_joa,juvenil,-0.02069,0.60000,-0.01639,0.01408
4,poi_pyr,juvenil,0.00000,0.00000,-0.14286,0.00800
5,ziz_joa,juvenil,0.01176,0.06667,-0.08824,0.09375
5,poi_pyr,juvenil,-0.00935,0.02326,-0.14286,0.00800
6,ziz_joa,juvenil,0.00000,0.00000,0.03125,0.02941
6,poi_pyr,juvenil,0.00000,0.00000,-0.11111,0.00813
7,ziz_joa,juvenil,-0.03806,1.00000,0.08861,0.13208
7,poi_pyr,juvenil,-0.00474,0.01124,0.00000,0.00000
1,ziz_joa,plantula,0.06122,1.00000,0.10828,1.00000
1,poi_pyr,plantula,0.01818,0.04348,0.23077,0.01863
2,ziz_joa,plantula,-0.05512,-0.24138,-0.84615,0.24444
2,poi_pyr,plantula,1.00000,0.50725,1.00000,0.03571
3,ziz_joa,plantula,0.01818,0.13514,0.33333,0.50725
3,poi_pyr,plantula,-0.01835,-0.04255,0.00000,0.00000
4,ziz_joa,plantula,-0.01767,-0.17241,-0.06452,0.03571
4,poi_pyr,plantula,0.01852,0.04167,0.07692,0.00621
5,ziz_joa,plantula,0.03846,0.19231,0.06494,0.05155
5,poi_pyr,plantula,-0.01408,-0.03030,-0.16667,0.01235
6,ziz_joa,plantula,-0.01901,-0.10204,-0.19355,0.10714
6,poi_pyr,plantula,-1.00000,-0.52195,-1.00000,0.02959
7,ziz_joa,plantula,-0.03521,-0.35714,0.07246,0.04762
7,poi_pyr,plantula,0.00000,0.00000,0.25000,0.01205
1,ziz_joa,juvenil,0.06122,1.00000,0.10828,0.00000
1,poi_pyr,juvenil,0.01818,0.04348,0.23077,0.01863
2,ziz_joa,juvenil,-0.05512,0.24138,-0.84615,0.24444
2,poi_pyr,juvenil,1.00000,0.50725,1.00000,0.03571
3,ziz_joa,juvenil,0.01818,0.13514,0.33333,0.50725
3,poi_pyr,juvenil,-0.01835,0.04255,0.00000,0.00000
4,ziz_joa,juvenil,-0.01767,0.17241,-0.06452,0.03571
4,poi_pyr,juvenil,0.01852,0.04167,0.07692,0.00621
5,ziz_joa,juvenil,0.03846,0.19231,0.06494,0.05155
5,poi_pyr,juvenil,-0.01408,0.03030,-0.16667,0.01235
6,ziz_joa,juvenil,-0.01901,0.10204,-0.19355,0.10714
6,poi_pyr,juvenil,-1.00000,0.52195,-1.00000,0.02959
7,ziz_joa,juvenil,-0.03521,0.35714,0.07246,0.04762
7,poi_pyr,juvenil,0.00000,0.00000,0.25000,0.01205
1,ziz_joa,plantula,0.06230,0.13287,0.19048,0.06557
1,poi_pyr,plantula,0.04933,0.04889,0.20000,0.00629
2,ziz_joa,plantula,-0.05138,-0.06667,-0.89474,0.11724
2,poi_pyr,plantula,1.00000,0.32544,1.00000,0.01443
3,ziz_joa,plantula,0.03180,0.05455,0.19008,0.06199
3,poi_pyr,plantula,0.00444,0.00448,0.06667,0.00210
4,ziz_joa,plantula,-0.01399,-0.02469,-0.64706,0.04803
4,poi_pyr,plantula,0.01382,0.01299,0.16667,0.00417
5,ziz_joa,plantula,0.01515,0.02174,-0.05051,0.01272
5,poi_pyr,plantula,-0.00465,-0.00429,0.09091,0.00208
6,ziz_joa,plantula,0.00375,0.00552,0.03371,0.00744
6,poi_pyr,plantula,-1.00000,-0.31378,-1.00000,0.01235
7,ziz_joa,plantula,-0.14872,-1.00000,0.47305,1.00000
7,poi_pyr,plantula,1.00000,0.32544,1.00000,0.01235
1,ziz_joa,juvenil,0.06230,0.13287,0.19048,0.06557
1,poi_pyr,juvenil,0.04933,0.04889,0.20000,0.00629
2,ziz_joa,juvenil,-0.05138,0.06667,-0.89474,0.11724
2,poi_pyr,juvenil,1.00000,0.32544,1.00000,0.01443
3,ziz_joa,juvenil,0.03180,0.05455,0.19008,0.06199
3,poi_pyr,juvenil,0.00444,0.00448,0.06667,0.00210
4,ziz_joa,juvenil,-0.01399,0.02469,-0.64706,0.04803
4,poi_pyr,juvenil,0.01382,0.01299,0.16667,0.00417
5,ziz_joa,juvenil,0.01515,0.02174,-0.05051,0.01272
5,poi_pyr,juvenil,-0.00465,0.00429,0.09091,0.00208
6,ziz_joa,juvenil,0.00375,0.00552,0.03371,0.00744
6,poi_pyr,juvenil,-1.00000,0.31378,-1.00000,0.01235
7,ziz_joa,juvenil,-0.14872,1.00000,0.47305,0.00000
7,poi_pyr,juvenil,1.00000,0.32544,1.00000,0.01235
1,ziz_joa,plantula,0.04795,1.00000,0.06250,0.05357
1,poi_pyr,plantula,0.04977,0.12941,0.33333,0.02591
2,ziz_joa,plantula,-1.00000,0.76879,-1.00000,0.20930
2,poi_pyr,plantula,1.00000,0.56122,1.00000,0.02970
3,ziz_joa,plantula,0.01083,0.10345,0.61702,0.50877
3,poi_pyr,plantula,0.00457,0.01149,0.27273,0.01523
4,ziz_joa,plantula,-0.02405,0.46667,0.14286,0.01031
4,poi_pyr,plantula,1.00000,0.57732,1.00000,0.02970
5,ziz_joa,plantula,0.02662,0.16279,0.34211,0.19697
5,poi_pyr,plantula,-0.01408,0.03226,-0.11111,0.00503
6,ziz_joa,plantula,-0.01460,0.12500,0.38667,1.00000
6,poi_pyr,plantula,-1.00000,0.53769,-1.00000,0.02463
7,ziz_joa,plantula,-0.03072,0.69231,-0.01538,0.00699
7,poi_pyr,plantula,1.00000,0.57732,1.00000,0.02463
1,ziz_joa,juvenil,0.04795,0.00000,0.06250,0.05357
1,poi_pyr,juvenil,0.04977,0.12941,0.33333,0.02591
2,ziz_joa,juvenil,-1.00000,0.76879,-1.00000,0.20930
2,poi_pyr,juvenil,1.00000,0.56122,1.00000,0.02970
3,ziz_joa,juvenil,0.01083,0.10345,0.61702,0.50877
3,poi_pyr,juvenil,0.00457,0.01149,0.27273,0.01523
4,ziz_joa,juvenil,-0.02405,0.46667,0.14286,0.01031
4,poi_pyr,juvenil,1.00000,0.57732,1.00000,0.02970
5,ziz_joa,juvenil,0.02662,0.16279,0.34211,0.19697
5,poi_pyr,juvenil,-0.01408,0.03226,-0.11111,0.00503
6,ziz_joa,juvenil,-0.01460,0.12500,0.38667,0.00000
6,poi_pyr,juvenil,-1.00000,0.53769,-1.00000,0.02463
7,ziz_joa,juvenil,-0.03072,0.69231,-0.01538,0.00699
7,poi_pyr,juvenil,1.00000,0.57732,1.00000,0.02463
1,ziz_joa,plantula,0.07591,0.17829,0.21622,0.08889
1,poi_pyr,plantula,0.04036,0.04306,0.33333,0.01653
2,ziz_joa,plantula,-1.00000,-0.46939,-1.00000,0.04098
2,poi_pyr,plantula,1.00000,0.35423,1.00000,0.02008
3,ziz_joa,plantula,0.02817,0.05405,0.78125,0.26316
3,poi_pyr,plantula,-0.00444,-0.00483,0.11111,0.00408
4,ziz_joa,plantula,-0.00694,-0.01389,0.33333,0.00398
4,poi_pyr,plantula,1.00000,0.35000,1.00000,0.02419
5,ziz_joa,plantula,0.00000,0.00000,0.61290,0.19792
5,poi_pyr,plantula,-0.00465,-0.00461,-0.14286,0.00405
6,ziz_joa,plantula,-0.02256,-0.03614,0.60784,0.40789
6,poi_pyr,plantula,-1.00000,-0.32923,-1.00000,0.01600
7,ziz_joa,plantula,-0.08511,-0.16000,0.25000,0.04673
7,poi_pyr,plantula,1.00000,0.35000,1.00000,0.02008
1,ziz_joa,juvenil,0.07591,0.17829,0.21622,0.08889
1,poi_pyr,juvenil,0.04036,0.04306,0.33333,0.01653
2,ziz_joa,juvenil,-1.00000,0.46939,-1.00000,0.04098
2,poi_pyr,juvenil,1.00000,0.35423,1.00000,0.02008
3,ziz_joa,juvenil,0.02817,0.05405,0.78125,0.26316
3,poi_pyr,juvenil,-0.00444,0.00483,0.11111,0.00408
4,ziz_joa,juvenil,-0.00694,0.01389,0.33333,0.00398
4,poi_pyr,juvenil,1.00000,0.35000,1.00000,0.02419
5,ziz_joa,juvenil,0.00000,0.00000,0.61290,0.19792
5,poi_pyr,juvenil,-0.00465,0.00461,-0.14286,0.00405
6,ziz_joa,juvenil,-0.02256,0.03614,0.60784,0.40789
6,poi_pyr,juvenil,-1.00000,0.32923,-1.00000,0.01600
7,ziz_joa,juvenil,-0.08511,0.16000,0.25000,0.04673
7,poi_pyr,juvenil,1.00000,0.35000,1.00000,0.02008