plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mofumbu,mororo,pereiro
3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
16,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
28,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
46,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0
48,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
49,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
55,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
59,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0
61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
64,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
67,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
73,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
76,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
78,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
80,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
81,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
85,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0
86,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
91,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
92,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
94,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
97,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
107,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
119,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
120,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
121,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
122,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
124,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
125,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0
127,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
132,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
133,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
136,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
137,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
138,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
139,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
141,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
142,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
146,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0
153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
